Objetivo,Recompensa
"Controlar cinco ou mais máquinas.","Você pode rodar uma máquina sua uma vez adicional neste turno."
"Controlar uma máquina que retorne algum T > 4.","Compre duas cartas."
"Controlar uma máquina que retorne algum T > 6.","Compre três cartas."
"Controlar duas máquinas que retornem cada uma T = 2.",""
"Controlar uma máquina que retorne T = 2 e uma máquina que retorne T = 3.",""
"Controlar três máquinas que retornem algum C.",""
"Controlar três peças que retornem algum Q.",""
"Controlar uma máquina com três ou menos peças que retorne Q = true.",""
"Controlar duas máquinas com duas peças cada uma.",""
"Controlar uma máquina com quatro ou mais peças.",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Ter sete ou mais cartas na mão.",""
"Ter nove ou mais cartas na mão.",""
